Entity,Code,Year,Continent,Date,Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned),Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned) Annotations,Weekly case growth (%),Weekly case growth (%) Annotations
Abkhazia,OWID_ABK,2015,Asia,,,,,
Afghanistan,AFG,2015,Asia,,,,,
Afghanistan,AFG,,,2020-01-02,0,,,
Afghanistan,AFG,,,2020-01-03,0,,,
Afghanistan,AFG,,,2020-01-04,0,,,
Afghanistan,AFG,,,2020-01-05,0,,,
Afghanistan,AFG,,,2020-01-06,0,,,
Afghanistan,AFG,,,2020-01-07,0,,,
Afghanistan,AFG,,,2020-01-08,0,,,
Afghanistan,AFG,,,2020-01-09,0,,,
Afghanistan,AFG,,,2020-01-10,0,,,
Afghanistan,AFG,,,2020-01-11,0,,,
Afghanistan,AFG,,,2020-01-12,0,,,
Afghanistan,AFG,,,2020-01-13,0,,,
Afghanistan,AFG,,,2020-01-14,0,,,
Afghanistan,AFG,,,2020-01-15,0,,,
Afghanistan,AFG,,,2020-01-16,0,,,
Afghanistan,AFG,,,2020-01-17,0,,,
Afghanistan,AFG,,,2020-01-18,0,,,
Afghanistan,AFG,,,2020-01-19,0,,,
Afghanistan,AFG,,,2020-01-20,0,,,
Afghanistan,AFG,,,2020-01-21,0,,,
Afghanistan,AFG,,,2020-01-22,0,,,
Afghanistan,AFG,,,2020-01-23,0,,,
Afghanistan,AFG,,,2020-01-24,0,,,
Afghanistan,AFG,,,2020-01-25,0,,,
Afghanistan,AFG,,,2020-01-26,0,,,
Afghanistan,AFG,,,2020-01-27,0,,,
Afghanistan,AFG,,,2020-01-28,0,,,
Afghanistan,AFG,,,2020-01-29,0,,,
Afghanistan,AFG,,,2020-01-30,0,,,
Afghanistan,AFG,,,2020-01-31,0,,,
Afghanistan,AFG,,,2020-02-01,0,,,
Afghanistan,AFG,,,2020-02-02,0,,,
Afghanistan,AFG,,,2020-02-03,0,,,
Afghanistan,AFG,,,2020-02-04,0,,,
Afghanistan,AFG,,,2020-02-05,0,,,
Afghanistan,AFG,,,2020-02-06,0,,,
Afghanistan,AFG,,,2020-02-07,0,,,
Afghanistan,AFG,,,2020-02-08,0,,,
Afghanistan,AFG,,,2020-02-09,0,,,
Afghanistan,AFG,,,2020-02-10,0,,,
Afghanistan,AFG,,,2020-02-11,0,,,
Afghanistan,AFG,,,2020-02-12,0,,,
Afghanistan,AFG,,,2020-02-13,0,,,
Afghanistan,AFG,,,2020-02-14,0,,,
Afghanistan,AFG,,,2020-02-15,0,,,
Afghanistan,AFG,,,2020-02-16,0,,,
Afghanistan,AFG,,,2020-02-17,0,,,
Afghanistan,AFG,,,2020-02-18,0,,,
Afghanistan,AFG,,,2020-02-19,0,,,
Afghanistan,AFG,,,2020-02-20,0,,,
Afghanistan,AFG,,,2020-02-21,0,,,
Afghanistan,AFG,,,2020-02-22,0,,,
Afghanistan,AFG,,,2020-02-23,0,,,
Afghanistan,AFG,,,2020-02-24,0,,,
Afghanistan,AFG,,,2020-02-25,0.00371,,,
Afghanistan,AFG,,,2020-02-26,0.00371,,,
Afghanistan,AFG,,,2020-02-27,0.00371,,,
Afghanistan,AFG,,,2020-02-28,0.00371,,,
Afghanistan,AFG,,,2020-02-29,0.00371,,,
Afghanistan,AFG,,,2020-03-01,0.00371,,,
Afghanistan,AFG,,,2020-03-02,0.00371,,,
Afghanistan,AFG,,,2020-03-03,0,,-100,
Afghanistan,AFG,,,2020-03-04,0,,-100,
Afghanistan,AFG,,,2020-03-05,0,,-100,
Afghanistan,AFG,,,2020-03-06,0,,-100,
Afghanistan,AFG,,,2020-03-07,,,-100,
Afghanistan,AFG,,,2020-03-08,,,200,
Afghanistan,AFG,,,2020-03-09,,,200,
Afghanistan,AFG,,,2020-03-15,,,100,
Afghanistan,AFG,,,2020-03-16,0.10267,,300,
Afghanistan,AFG,,,2020-03-17,0.109,,466.666666666667,
Afghanistan,AFG,,,2020-03-18,0.09625,,150,
Afghanistan,AFG,,,2020-03-19,0.077,,150,
Afghanistan,AFG,,,2020-03-20,0.06417,,150,
Afghanistan,AFG,,,2020-03-21,0.06229,,183.333333333333,
Afghanistan,AFG,,,2020-03-22,0.05129,,133.333333333333,
Afghanistan,AFG,,,2020-03-23,0.066,,50,
Afghanistan,AFG,,,2020-03-24,0.06971,,11.7647058823529,
Afghanistan,AFG,,,2020-03-25,0.07329,,33.3333333333333,
Afghanistan,AFG,,,2020-03-26,0.19443,,253.333333333333,
Afghanistan,AFG,,,2020-03-27,0.19443,,253.333333333333,
Afghanistan,AFG,,,2020-03-28,0.24586,,294.117647058824,
Afghanistan,AFG,,,2020-03-29,0.30086,,485.714285714286,
Afghanistan,AFG,,,2020-03-30,0.29357,,344.444444444445,
Afghanistan,AFG,,,2020-03-31,0.37071,,431.578947368421,
Afghanistan,AFG,,,2020-04-01,0.45514,,520,
Afghanistan,AFG,,,2020-04-02,0.42943,,120.754716981132,
Afghanistan,AFG,,,2020-04-03,0.58729,,201.88679245283,
Afghanistan,AFG,,,2020-04-04,0.52857,,114.925373134328,
Afghanistan,AFG,,,2020-04-05,0.602,,100,
Afghanistan,AFG,,,2020-04-06,0.679,,131.25,
Afghanistan,AFG,,,2020-04-07,0.71929,,94.059405940594,
Afghanistan,AFG,,,2020-04-08,0.73771,,62.0967741935484,
Afghanistan,AFG,,,2020-04-09,0.84786,,97.4358974358974,
Afghanistan,AFG,,,2020-04-10,0.91386,,55.625,
Afghanistan,AFG,,,2020-04-11,1.04957,,98.6111111111111,
Afghanistan,AFG,,,2020-04-12,1.04586,,73.780487804878,
Afghanistan,AFG,,,2020-04-13,1.13029,,66.4864864864865,
Afghanistan,AFG,,,2020-04-14,1.20371,,67.3469387755102,
Afghanistan,AFG,,,2020-04-15,1.27343,,72.636815920398,
Afghanistan,AFG,,,2020-04-16,1.32471,,56.2770562770563,
Afghanistan,AFG,,,2020-04-17,1.13757,,24.4979919678715,
Afghanistan,AFG,,,2020-04-18,1.189,,13.2867132867133,
Afghanistan,AFG,,,2020-04-19,1.29543,,23.859649122807,
Afghanistan,AFG,,,2020-04-20,1.42757,,26.2987012987013,
Afghanistan,AFG,,,2020-04-21,1.34314,,11.5853658536585,
Afghanistan,AFG,,,2020-04-22,1.38714,,8.93371757925072,
Afghanistan,AFG,,,2020-04-23,1.43857,,8.58725761772854,
Afghanistan,AFG,,,2020-04-24,1.78714,,57.0967741935484,
Afghanistan,AFG,,,2020-04-25,1.85686,,56.1728395061728,
Afghanistan,AFG,,,2020-04-26,2.03671,,57.2237960339943,
Afghanistan,AFG,,,2020-04-27,1.96329,,37.5321336760925,
Afghanistan,AFG,,,2020-04-28,2.466,,83.6065573770492,
Afghanistan,AFG,,,2020-04-29,2.69714,,94.4444444444444,
Afghanistan,AFG,,,2020-04-30,2.83657,,97.1938775510204,
Afghanistan,AFG,,,2020-05-01,3.266,,82.7515400410678,
Afghanistan,AFG,,,2020-05-02,3.611,,94.4664031620553,
Afghanistan,AFG,,,2020-05-03,3.69171,,81.2612612612613,
Afghanistan,AFG,,,2020-05-04,4.30457,,119.252336448598,
Afghanistan,AFG,,,2020-05-05,4.37071,,77.2321428571429,
Afghanistan,AFG,,,2020-05-06,5.12671,,90.0680272108844,
Afghanistan,AFG,,,2020-05-07,5.29557,,86.6752910737387,
Afghanistan,AFG,,,2020-05-08,5.10843,,56.4044943820225,
Afghanistan,AFG,,,2020-05-09,5.29557,,46.6463414634146,
Afghanistan,AFG,,,2020-05-10,5.73957,,55.4671968190855,
Afghanistan,AFG,,,2020-05-11,6.23129,,44.7570332480819,
Afghanistan,AFG,,,2020-05-12,6.57986,,50.5457598656591,
Afghanistan,AFG,,,2020-05-13,6.39643,,24.7673586256263,
Afghanistan,AFG,,,2020-05-14,6.73029,,27.0963270963271,
Afghanistan,AFG,,,2020-05-15,6.51743,,27.5862068965517,
Afghanistan,AFG,,,2020-05-16,9.62943,,81.8433818433818,
Afghanistan,AFG,,,2020-05-17,8.69371,,51.4705882352941,
Afghanistan,AFG,,,2020-05-18,8.301,,33.2155477031802,
Afghanistan,AFG,,,2020-05-19,8.75243,,33.0172894590073,
Afghanistan,AFG,,,2020-05-20,9.857,,54.1021227768216,
Afghanistan,AFG,,,2020-05-21,10.71214,,59.1603053435115,
