Entity,Code,Year,Continent,Date,Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned),Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned) Annotations,Weekly death growth (%),Weekly death growth (%) Annotations
Abkhazia,OWID_ABK,2015,Asia,,,,,
Afghanistan,AFG,2015,Asia,,,,,
Afghanistan,AFG,,,2020-01-02,0,,,
Afghanistan,AFG,,,2020-01-03,0,,,
Afghanistan,AFG,,,2020-01-04,0,,,
Afghanistan,AFG,,,2020-01-05,0,,,
Afghanistan,AFG,,,2020-01-06,0,,,
Afghanistan,AFG,,,2020-01-07,0,,,
Afghanistan,AFG,,,2020-01-08,0,,,
Afghanistan,AFG,,,2020-01-09,0,,,
Afghanistan,AFG,,,2020-01-10,0,,,
Afghanistan,AFG,,,2020-01-11,0,,,
Afghanistan,AFG,,,2020-01-12,0,,,
Afghanistan,AFG,,,2020-01-13,0,,,
Afghanistan,AFG,,,2020-01-14,0,,,
Afghanistan,AFG,,,2020-01-15,0,,,
Afghanistan,AFG,,,2020-01-16,0,,,
Afghanistan,AFG,,,2020-01-17,0,,,
Afghanistan,AFG,,,2020-01-18,0,,,
Afghanistan,AFG,,,2020-01-19,0,,,
Afghanistan,AFG,,,2020-01-20,0,,,
Afghanistan,AFG,,,2020-01-21,0,,,
Afghanistan,AFG,,,2020-01-22,0,,,
Afghanistan,AFG,,,2020-01-23,0,,,
Afghanistan,AFG,,,2020-01-24,0,,,
Afghanistan,AFG,,,2020-01-25,0,,,
Afghanistan,AFG,,,2020-01-26,0,,,
Afghanistan,AFG,,,2020-01-27,0,,,
Afghanistan,AFG,,,2020-01-28,0,,,
Afghanistan,AFG,,,2020-01-29,0,,,
Afghanistan,AFG,,,2020-01-30,0,,,
Afghanistan,AFG,,,2020-01-31,0,,,
Afghanistan,AFG,,,2020-02-01,0,,,
Afghanistan,AFG,,,2020-02-02,0,,,
Afghanistan,AFG,,,2020-02-03,0,,,
Afghanistan,AFG,,,2020-02-04,0,,,
Afghanistan,AFG,,,2020-02-05,0,,,
Afghanistan,AFG,,,2020-02-06,0,,,
Afghanistan,AFG,,,2020-02-07,0,,,
Afghanistan,AFG,,,2020-02-08,0,,,
Afghanistan,AFG,,,2020-02-09,0,,,
Afghanistan,AFG,,,2020-02-10,0,,,
Afghanistan,AFG,,,2020-02-11,0,,,
Afghanistan,AFG,,,2020-02-12,0,,,
Afghanistan,AFG,,,2020-02-13,0,,,
Afghanistan,AFG,,,2020-02-14,0,,,
Afghanistan,AFG,,,2020-02-15,0,,,
Afghanistan,AFG,,,2020-02-16,0,,,
Afghanistan,AFG,,,2020-02-17,0,,,
Afghanistan,AFG,,,2020-02-18,0,,,
Afghanistan,AFG,,,2020-02-19,0,,,
Afghanistan,AFG,,,2020-02-20,0,,,
Afghanistan,AFG,,,2020-02-21,0,,,
Afghanistan,AFG,,,2020-02-22,0,,,
Afghanistan,AFG,,,2020-02-23,0,,,
Afghanistan,AFG,,,2020-02-24,0,,,
Afghanistan,AFG,,,2020-02-25,0,,,
Afghanistan,AFG,,,2020-02-26,0,,,
Afghanistan,AFG,,,2020-02-27,0,,,
Afghanistan,AFG,,,2020-02-28,0,,,
Afghanistan,AFG,,,2020-02-29,0,,,
Afghanistan,AFG,,,2020-03-01,0,,,
Afghanistan,AFG,,,2020-03-02,0,,,
Afghanistan,AFG,,,2020-03-03,0,,,
Afghanistan,AFG,,,2020-03-04,0,,,
Afghanistan,AFG,,,2020-03-05,0,,,
Afghanistan,AFG,,,2020-03-06,0,,,
Afghanistan,AFG,,,2020-03-16,0,,,
Afghanistan,AFG,,,2020-03-17,0,,,
Afghanistan,AFG,,,2020-03-18,0,,,
Afghanistan,AFG,,,2020-03-19,0,,,
Afghanistan,AFG,,,2020-03-20,0,,,
Afghanistan,AFG,,,2020-03-21,0,,,
Afghanistan,AFG,,,2020-03-22,0,,,
Afghanistan,AFG,,,2020-03-23,0,,,
Afghanistan,AFG,,,2020-03-24,0.00371,,,
Afghanistan,AFG,,,2020-03-25,0.00371,,,
Afghanistan,AFG,,,2020-03-26,0.00371,,,
Afghanistan,AFG,,,2020-03-27,0.00371,,,
Afghanistan,AFG,,,2020-03-28,0.00743,,,
Afghanistan,AFG,,,2020-03-29,0.01114,,,
Afghanistan,AFG,,,2020-03-30,0.01486,,,
Afghanistan,AFG,,,2020-03-31,0.01114,,200,
Afghanistan,AFG,,,2020-04-01,0.01114,,200,
Afghanistan,AFG,,,2020-04-02,0.01114,,200,
Afghanistan,AFG,,,2020-04-03,0.01114,,200,
Afghanistan,AFG,,,2020-04-04,0.00743,,0,
Afghanistan,AFG,,,2020-04-05,0.00743,,-33.3333333333333,
Afghanistan,AFG,,,2020-04-06,0.011,,-25,
Afghanistan,AFG,,,2020-04-07,0.011,,0,
Afghanistan,AFG,,,2020-04-08,0.02571,,133.333333333333,
Afghanistan,AFG,,,2020-04-09,0.03671,,233.333333333333,
Afghanistan,AFG,,,2020-04-10,0.04043,,266.666666666667,
Afghanistan,AFG,,,2020-04-11,0.04043,,450,
Afghanistan,AFG,,,2020-04-12,0.04771,,550,
Afghanistan,AFG,,,2020-04-13,0.04043,,266.666666666667,
Afghanistan,AFG,,,2020-04-14,0.05143,,366.666666666667,
Afghanistan,AFG,,,2020-04-15,0.044,,71.4285714285714,
Afghanistan,AFG,,,2020-04-16,0.04029,,10,
Afghanistan,AFG,,,2020-04-17,0.05129,,27.2727272727273,
Afghanistan,AFG,,,2020-04-18,0.055,,36.3636363636364,
Afghanistan,AFG,,,2020-04-19,0.044,,-7.69230769230769,
Afghanistan,AFG,,,2020-04-20,0.055,,36.3636363636364,
Afghanistan,AFG,,,2020-04-21,0.05129,,0,
Afghanistan,AFG,,,2020-04-22,0.04771,,8.33333333333333,
Afghanistan,AFG,,,2020-04-23,0.05514,,36.3636363636364,
Afghanistan,AFG,,,2020-04-24,0.04771,,-7.14285714285714,
Afghanistan,AFG,,,2020-04-25,0.04771,,-13.3333333333333,
Afghanistan,AFG,,,2020-04-26,0.06243,,41.6666666666667,
Afghanistan,AFG,,,2020-04-27,0.08814,,60,
Afghanistan,AFG,,,2020-04-28,0.08086,,57.1428571428571,
Afghanistan,AFG,,,2020-04-29,0.08814,,84.6153846153846,
Afghanistan,AFG,,,2020-04-30,0.07343,,33.3333333333333,
Afghanistan,AFG,,,2020-05-01,0.08086,,69.2307692307692,
Afghanistan,AFG,,,2020-05-02,0.09186,,92.3076923076923,
Afghanistan,AFG,,,2020-05-03,0.09186,,47.0588235294118,
Afghanistan,AFG,,,2020-05-04,0.10286,,16.6666666666667,
Afghanistan,AFG,,,2020-05-05,0.12114,,50,
Afghanistan,AFG,,,2020-05-06,0.12843,,45.8333333333333,
Afghanistan,AFG,,,2020-05-07,0.16143,,120,
Afghanistan,AFG,,,2020-05-08,0.154,,90.9090909090909,
Afghanistan,AFG,,,2020-05-09,0.15029,,64,
Afghanistan,AFG,,,2020-05-10,0.15757,,72,
Afghanistan,AFG,,,2020-05-11,0.12814,,25,
Afghanistan,AFG,,,2020-05-12,0.11714,,-3.03030303030303,
Afghanistan,AFG,,,2020-05-13,0.11714,,-8.57142857142857,
Afghanistan,AFG,,,2020-05-14,0.09514,,-40.9090909090909,
Afghanistan,AFG,,,2020-05-15,0.10986,,-28.5714285714286,
Afghanistan,AFG,,,2020-05-16,0.21629,,43.9024390243902,
Afghanistan,AFG,,,2020-05-17,0.19429,,23.2558139534884,
Afghanistan,AFG,,,2020-05-18,0.17971,,40,
Afghanistan,AFG,,,2020-05-19,0.18714,,59.375,
Afghanistan,AFG,,,2020-05-20,0.18714,,59.375,
Afghanistan,AFG,,,2020-05-21,0.20914,,119.230769230769,
Afghanistan,AFG,,,2020-05-22,0.20914,,90,
Afghanistan,AFG,,,2020-05-23,0.13571,,-37.2881355932203,
Afghanistan,AFG,,,2020-05-24,0.17614,,-9.43396226415094,
Afghanistan,AFG,,,2020-05-25,0.17971,,0,
Afghanistan,AFG,,,2020-05-26,0.16871,,-9.80392156862745,
Afghanistan,AFG,,,2020-05-27,0.15414,,-17.6470588235294,
Afghanistan,AFG,,,2020-05-28,0.14686,,-29.8245614035088,
Afghanistan,AFG,,,2020-05-29,0.15429,,-26.3157894736842,
Afghanistan,AFG,,,2020-05-30,0.15071,,10.8108108108108,
