Entity,Code,Date,Weekly death growth (%),Weekly death growth (%) Annotations
Afghanistan,AFG,2020-03-31,200,
Afghanistan,AFG,2020-04-01,200,
Afghanistan,AFG,2020-04-02,200,
Afghanistan,AFG,2020-04-03,200,
Afghanistan,AFG,2020-04-04,0,
Afghanistan,AFG,2020-04-05,-33.3333333333333,
Afghanistan,AFG,2020-04-06,-25,
Afghanistan,AFG,2020-04-07,0,
Afghanistan,AFG,2020-04-08,133.333333333333,
Afghanistan,AFG,2020-04-09,233.333333333333,
Afghanistan,AFG,2020-04-10,266.666666666667,
Afghanistan,AFG,2020-04-11,450,
Afghanistan,AFG,2020-04-12,550,
Afghanistan,AFG,2020-04-13,266.666666666667,
Afghanistan,AFG,2020-04-14,366.666666666667,
Afghanistan,AFG,2020-04-15,71.4285714285714,
Afghanistan,AFG,2020-04-16,10,
Afghanistan,AFG,2020-04-17,27.2727272727273,
Afghanistan,AFG,2020-04-18,36.3636363636364,
Afghanistan,AFG,2020-04-19,-7.69230769230769,
Afghanistan,AFG,2020-04-20,36.3636363636364,
Afghanistan,AFG,2020-04-21,0,
Afghanistan,AFG,2020-04-22,8.33333333333333,
Afghanistan,AFG,2020-04-23,36.3636363636364,
Afghanistan,AFG,2020-04-24,-7.14285714285714,
Afghanistan,AFG,2020-04-25,-13.3333333333333,
Afghanistan,AFG,2020-04-26,41.6666666666667,
Afghanistan,AFG,2020-04-27,60,
Afghanistan,AFG,2020-04-28,57.1428571428571,
Afghanistan,AFG,2020-04-29,84.6153846153846,
Afghanistan,AFG,2020-04-30,33.3333333333333,
Afghanistan,AFG,2020-05-01,69.2307692307692,
Afghanistan,AFG,2020-05-02,92.3076923076923,
Afghanistan,AFG,2020-05-03,47.0588235294118,
Afghanistan,AFG,2020-05-04,16.6666666666667,
Afghanistan,AFG,2020-05-05,50,
Afghanistan,AFG,2020-05-06,45.8333333333333,
Afghanistan,AFG,2020-05-07,120,
Afghanistan,AFG,2020-05-08,90.9090909090909,
Afghanistan,AFG,2020-05-09,64,
Afghanistan,AFG,2020-05-10,72,
Afghanistan,AFG,2020-05-11,25,
Afghanistan,AFG,2020-05-12,-3.03030303030303,
Afghanistan,AFG,2020-05-13,-8.57142857142857,
Afghanistan,AFG,2020-05-14,-40.9090909090909,
Afghanistan,AFG,2020-05-15,-28.5714285714286,
Afghanistan,AFG,2020-05-16,43.9024390243902,
Afghanistan,AFG,2020-05-17,23.2558139534884,
Afghanistan,AFG,2020-05-18,40,
