,Date_reported, Country, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,population in millions,new deaths per million ,target
0,2020-02-26,Brazil,5.0,5.0,0.0,0.0,209.5,0.0,0.0
1,2020-02-27,Brazil,0.0,5.0,0.0,0.0,209.5,0.0,0.0
2,2020-02-28,Brazil,0.0,5.0,0.0,0.0,209.5,0.0,0.0
3,2020-02-29,Brazil,0.0,5.0,0.0,0.0,209.5,0.0,0.0
4,2020-03-01,Brazil,1.0,6.0,0.0,0.0,209.5,0.0,0.0
5,2020-03-02,Brazil,0.0,6.0,0.0,0.0,209.5,0.0,0.0
6,2020-03-03,Brazil,0.0,6.0,0.0,0.0,209.5,0.0,0.0
7,2020-03-04,Brazil,1.0,7.0,0.0,0.0,209.5,0.0,0.0
8,2020-03-05,Brazil,4.0,11.0,0.0,0.0,209.5,0.0,0.0
9,2020-03-06,Brazil,1.0,12.0,0.0,0.0,209.5,0.0,0.0
10,2020-03-07,Brazil,11.0,23.0,0.0,0.0,209.5,0.0,0.0
11,2020-03-08,Brazil,0.0,23.0,0.0,0.0,209.5,0.0,0.0
12,2020-03-09,Brazil,6.0,29.0,0.0,0.0,209.5,0.0,0.0
13,2020-03-10,Brazil,0.0,29.0,0.0,0.0,209.5,0.0,0.0
14,2020-03-11,Brazil,9.0,38.0,0.0,0.0,209.5,0.0,0.0
15,2020-03-12,Brazil,18.0,56.0,0.0,0.0,209.5,0.0,0.0
16,2020-03-13,Brazil,46.0,102.0,0.0,0.0,209.5,0.0,0.0
17,2020-03-14,Brazil,23.0,125.0,0.0,0.0,209.5,0.0,0.0
18,2020-03-15,Brazil,0.0,125.0,0.0,0.0,209.5,0.0,0.0
19,2020-03-16,Brazil,79.0,204.0,0.0,0.0,209.5,0.0,0.0
20,2020-03-17,Brazil,34.0,238.0,0.0,0.0,209.5,0.0,0.0
21,2020-03-18,Brazil,57.0,295.0,1.0,1.0,209.5,0.00477326968973747,0.0
22,2020-03-19,Brazil,133.0,428.0,3.0,4.0,209.5,0.014319809069212411,0.0
23,2020-03-20,Brazil,193.0,621.0,0.0,4.0,209.5,0.0,0.0
24,2020-03-21,Brazil,283.0,904.0,7.0,11.0,209.5,0.03341288782816229,1.0
25,2020-03-22,Brazil,0.0,904.0,0.0,11.0,209.5,0.0,0.0
26,2020-03-23,Brazil,0.0,904.0,0.0,11.0,209.5,0.0,0.0
27,2020-03-24,Brazil,1297.0,2201.0,35.0,46.0,209.5,0.16706443914081145,1.0
28,2020-03-25,Brazil,0.0,2201.0,0.0,46.0,209.5,0.0,0.0
29,2020-03-26,Brazil,232.0,2433.0,11.0,57.0,209.5,0.05250596658711217,1.0
30,2020-03-27,Brazil,0.0,2433.0,0.0,57.0,209.5,0.0,0.0
31,2020-03-28,Brazil,482.0,2915.0,20.0,77.0,209.5,0.0954653937947494,1.0
32,2020-03-29,Brazil,502.0,3417.0,15.0,92.0,209.5,0.07159904534606205,1.0
33,2020-03-30,Brazil,487.0,3904.0,22.0,114.0,209.5,0.10501193317422435,1.0
34,2020-03-31,Brazil,352.0,4256.0,22.0,136.0,209.5,0.10501193317422435,1.0
35,2020-04-01,Brazil,323.0,4579.0,23.0,159.0,209.5,0.10978520286396182,1.0
36,2020-04-02,Brazil,1138.0,5717.0,42.0,201.0,209.5,0.20047732696897375,1.0
37,2020-04-03,Brazil,1119.0,6836.0,40.0,241.0,209.5,0.1909307875894988,1.0
38,2020-04-04,Brazil,1074.0,7910.0,58.0,299.0,209.5,0.27684964200477324,1.0
39,2020-04-05,Brazil,1146.0,9056.0,60.0,359.0,209.5,0.2863961813842482,1.0
40,2020-04-06,Brazil,1222.0,10278.0,73.0,432.0,209.5,0.34844868735083534,1.0
41,2020-04-07,Brazil,852.0,11130.0,54.0,486.0,209.5,0.2577565632458234,1.0
42,2020-04-08,Brazil,926.0,12056.0,67.0,553.0,209.5,0.3198090692124105,1.0
43,2020-04-09,Brazil,1661.0,13717.0,114.0,667.0,209.5,0.5441527446300716,1.0
44,2020-04-10,Brazil,2210.0,15927.0,133.0,800.0,209.5,0.6348448687350835,1.0
45,2020-04-11,Brazil,1930.0,17857.0,141.0,941.0,209.5,0.6730310262529833,1.0
46,2020-04-12,Brazil,1781.0,19638.0,115.0,1056.0,209.5,0.548926014319809,1.0
47,2020-04-13,Brazil,1089.0,20727.0,68.0,1124.0,209.5,0.324582338902148,1.0
48,2020-04-14,Brazil,1442.0,22169.0,99.0,1223.0,209.5,0.47255369928400953,1.0
49,2020-04-15,Brazil,1261.0,23430.0,105.0,1328.0,209.5,0.5011933174224343,1.0
50,2020-04-16,Brazil,1832.0,25262.0,204.0,1532.0,209.5,0.9737470167064439,1.0
51,2020-04-17,Brazil,3058.0,28320.0,204.0,1736.0,209.5,0.9737470167064439,1.0
52,2020-04-18,Brazil,2105.0,30425.0,188.0,1924.0,209.5,0.8973747016706444,1.0
53,2020-04-19,Brazil,3257.0,33682.0,217.0,2141.0,209.5,1.035799522673031,2.0
54,2020-04-20,Brazil,2917.0,36599.0,206.0,2347.0,209.5,0.9832935560859188,1.0
55,2020-04-21,Brazil,2055.0,38654.0,115.0,2462.0,209.5,0.548926014319809,1.0
56,2020-04-22,Brazil,1927.0,40581.0,113.0,2575.0,209.5,0.5393794749403341,1.0
57,2020-04-23,Brazil,2498.0,43079.0,166.0,2741.0,209.5,0.7923627684964201,1.0
58,2020-04-24,Brazil,2678.0,45757.0,165.0,2906.0,209.5,0.7875894988066826,1.0
59,2020-04-25,Brazil,3735.0,49492.0,407.0,3313.0,209.5,1.9427207637231503,2.0
60,2020-04-26,Brazil,3503.0,52995.0,357.0,3670.0,209.5,1.704057279236277,2.0
61,2020-04-27,Brazil,5514.0,58509.0,346.0,4016.0,209.5,1.6515513126491648,2.0
62,2020-04-28,Brazil,3379.0,61888.0,189.0,4205.0,209.5,0.9021479713603818,2.0
63,2020-04-29,Brazil,4613.0,66501.0,338.0,4543.0,209.5,1.6133651551312649,2.0
64,2020-04-30,Brazil,5385.0,71886.0,474.0,5017.0,209.5,2.2625298329355608,2.0
65,2020-05-01,Brazil,6276.0,78162.0,449.0,5466.0,209.5,2.143198090692124,2.0
66,2020-05-02,Brazil,7218.0,85380.0,435.0,5901.0,209.5,2.0763723150357993,2.0
