,Date_reported, Country, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,population in millions,new deaths per million ,international_travels,Testing policy (OxBSG),work place - closure,worplace visitors,cancel public events,school closure,staying_home_instructions,transpotation_closure,public gathering,campaigns,contact_tracing,covid_relief,income_support,internal_movment,Retail & Recreation (%),Grocery & Pharmacy Stores (%),Residential (%),Transit Stations (%),Parks (%),Workplaces (%),target
0,2020-02-26,Brazil,5.0,5.0,0.0,0.0,209.5,0.0,1.0,1.0,3.0,-13.714,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,-35.857,3.429,11.714,-32.857,-35.286,-13.714,1.0
1,2020-02-27,Brazil,0.0,5.0,0.0,0.0,209.5,0.0,1.0,1.0,3.0,-13.429,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,-35.0,4.714,11.714,-32.571,-35.429,-13.429,0.0
2,2020-02-28,Brazil,0.0,5.0,0.0,0.0,209.5,0.0,1.0,1.0,3.0,-13.286,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,-34.286,5.714,11.571,-32.143,-34.857,-13.286,0.0
3,2020-02-29,Brazil,0.0,5.0,0.0,0.0,209.5,0.0,1.0,1.0,3.0,-13.0,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,-33.571,6.714,11.429,-31.714,-34.714,-13.0,0.0
4,2020-03-01,Brazil,1.0,6.0,0.0,0.0,209.5,0.0,1.0,1.0,3.0,-12.857,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,-32.571,7.857,11.429,-31.286,-34.286,-12.857,1.0
5,2020-03-02,Brazil,0.0,6.0,0.0,0.0,209.5,0.0,1.0,1.0,3.0,-12.571,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,-31.286,9.286,11.286,-30.429,-33.0,-12.571,0.0
6,2020-03-03,Brazil,0.0,6.0,0.0,0.0,209.5,0.0,1.0,1.0,3.0,-12.286,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,-29.857,11.0,11.0,-29.286,-31.143,-12.286,0.0
7,2020-03-04,Brazil,1.0,7.0,0.0,0.0,209.5,0.0,1.0,1.0,3.0,-12.0,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,-28.571,12.0,10.714,-28.429,-29.714,-12.0,1.0
8,2020-03-05,Brazil,4.0,11.0,0.0,0.0,209.5,0.0,1.0,1.0,3.0,-11.571,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,-27.0,13.429,10.286,-27.286,-28.714,-11.571,1.0
9,2020-03-06,Brazil,1.0,12.0,0.0,0.0,209.5,0.0,1.0,1.0,3.0,-10.143,2.0,3.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,-26.571,14.571,9.857,-26.286,-28.714,-10.143,1.0
